item_id,shop_id,drink_name,drink_category,flavor,available_hot,available_iced,size,min_price,max_price,milk_options,matcha_type_claim,menu_source,menu_url,date_collected,price_is_starting,extraction_evidence,review_status
SEA008-AI-001,SEA008,Classic Matcha Latte,Matcha Latte,Original,,True,16 oz,8.0,8.0,Oat; Almond; Corn,Ceremonial; Kanayamidori; Yabukita,Official Website,https://www.minasmatcha.com/s/Minas_Matcha_Menu.pdf,2026-08-29,False,"Classic Matcha Latte - $8.00
matcha, organic agave, milk",Reviewed
SEA008-AI-002,SEA008,Double Matcha Latte,Matcha Latte,Original,,True,16 oz,9.0,9.0,Oat; Almond; Corn,Ceremonial; Kanayamidori; Yabukita,Official Website,https://www.minasmatcha.com/s/Minas_Matcha_Menu.pdf,2026-08-29,False,"Double Matcha Latte - $9.00
matcha, organic agave, milk, matcha cream top",Reviewed
SEA008-AI-003,SEA008,Vanilla Matcha Latte,Matcha Latte,Vanilla,,True,16 oz,8.5,8.5,Oat; Almond; Corn,Ceremonial; Kanayamidori; Yabukita,Official Website,https://www.minasmatcha.com/s/Minas_Matcha_Menu.pdf,2026-08-29,False,"Vanilla Matcha Latte - $8.50
matcha, vanilla syrup, milk",Reviewed
SEA008-AI-004,SEA008,Lavender Matcha Latte,Matcha Latte,Lavender,,True,16 oz,8.5,8.5,Oat; Almond; Corn,Ceremonial; Kanayamidori; Yabukita,Official Website,https://www.minasmatcha.com/s/Minas_Matcha_Menu.pdf,2026-08-29,False,"Lavender Matcha Latte - $8.50
matcha, lavender syrup, milk",Reviewed
SEA008-AI-005,SEA008,Earl Grey Matcha Latte,Matcha Latte,Earl Grey,,True,16 oz,8.95,8.95,Oat; Almond; Corn,Ceremonial; Kanayamidori; Yabukita,Official Website,https://www.minasmatcha.com/s/Minas_Matcha_Menu.pdf,2026-08-29,False,"Earl Grey Matcha Latte - $8.95
matcha, house made earl grey syrup, milk",Reviewed
SEA008-AI-006,SEA008,Strawberry Matcha Latte,Matcha Latte,Strawberry,,True,16 oz,8.95,8.95,Oat; Almond; Corn,Ceremonial; Kanayamidori; Yabukita,Official Website,https://www.minasmatcha.com/s/Minas_Matcha_Menu.pdf,2026-08-29,False,"Strawberry Matcha Latte - $8.95
matcha, house made strawberry puree, milk, strawberry cream top",Reviewed
SEA008-AI-007,SEA008,Ube Matcha Latte,Matcha Latte,Ube,,True,16 oz,8.95,8.95,Oat; Almond; Corn,Ceremonial; Kanayamidori; Yabukita,Official Website,https://www.minasmatcha.com/s/Minas_Matcha_Menu.pdf,2026-08-29,False,"Ube Matcha Latte - $8.95
matcha, organic agave, milk, ube cream top",Reviewed
SEA008-AI-008,SEA008,Brown Sugar Matcha Latte,Matcha Latte,Brown Sugar,,True,16 oz,8.95,8.95,Oat; Almond; Corn,Ceremonial; Kanayamidori; Yabukita,Official Website,https://www.minasmatcha.com/s/Minas_Matcha_Menu.pdf,2026-08-29,False,"Brown Sugar Matcha Latte - $8.95
matcha, house made brown sugar syrup, milk",Reviewed
SEA008-AI-009,SEA008,Banana Pudding Matcha Latte,Matcha Latte,Banana Pudding,,True,16 oz,11.5,11.5,Oat; Almond; Corn,Ceremonial; Kanayamidori; Yabukita,Official Website,https://www.minasmatcha.com/s/Minas_Matcha_Menu.pdf,2026-08-29,False,"Banana Pudding Matcha Latte - $11.50
matcha, milk, vanilla syrup, banana pudding",Reviewed
SEA008-AI-010,SEA008,Apple Lime Matcha Refresher,Matcha Soda,Apple Lime,,True,16 oz,9.0,9.0,,Ceremonial; Kanayamidori; Yabukita,Official Website,https://www.minasmatcha.com/s/Minas_Matcha_Menu.pdf,2026-08-29,False,"Apple Lime Matcha Refresher - $9.00
matcha, sparkling apple juice, lime",Reviewed
SEA009-AI-001,SEA009,Matcha Latte,Matcha Latte,Original,,True,12 oz,7.5,7.5,Oat,"Ceremonial; Saemidori; Okumidori; Nishio, Aichi",Official PDF,https://drive.google.com/file/d/1dTl33UzNkJu1AkJvIg0savaLMOimN9wB/view?usp=sharing,2026-08-29,False,Matcha Latte - $7.50,Reviewed
SEA009-AI-002,SEA009,Jasmine Matcha Latte,Matcha Latte,Jasmine,,True,12 oz,8.0,8.0,Oat; 2%,"Ceremonial; Saemidori; Okumidori; Nishio, Aichi",Official PDF,https://drive.google.com/file/d/1dTl33UzNkJu1AkJvIg0savaLMOimN9wB/view?usp=sharing,2026-08-29,False,Jasmine Matcha Latte - $8.00,Reviewed
SEA009-AI-003,SEA009,Strawberry Matcha,Matcha Latte,Strawberry,,True,12 oz,8.5,8.5,Oat,"Ceremonial; Saemidori; Okumidori; Nishio, Aichi",Official PDF,https://drive.google.com/file/d/1dTl33UzNkJu1AkJvIg0savaLMOimN9wB/view?usp=sharing,2026-08-29,False,Strawberry Matcha - $8.50,Reviewed
SEA009-AI-004,SEA009,Matcha Cheese Top,Matcha Latte,Original,,True,12 oz,8.5,8.5,Oat,"Ceremonial; Saemidori; Okumidori; Nishio, Aichi",Official PDF,https://drive.google.com/file/d/1dTl33UzNkJu1AkJvIg0savaLMOimN9wB/view?usp=sharing,2026-08-29,False,"Our rich matcha latte paired with a sweet, cream cheese base cream top.",Reviewed
SEA009-AI-005,SEA009,Banana Bread Matcha,Matcha Latte,Banana Bread,,True,12 oz,8.5,8.5,Oat,"Ceremonial; Saemidori; Okumidori; Nishio, Aichi",Official PDF,https://drive.google.com/file/d/1dTl33UzNkJu1AkJvIg0savaLMOimN9wB/view?usp=sharing,2026-08-29,False,Banana Bread Matcha - $8.50,Reviewed
SEA009-AI-006,SEA009,Strawberry Jasmine Matcha,Matcha Latte,Strawberry; Jasmine,,True,12 oz,8.5,8.5,Oat,"Ceremonial; Saemidori; Okumidori; Nishio, Aichi",Official PDF,https://drive.google.com/file/d/1dTl33UzNkJu1AkJvIg0savaLMOimN9wB/view?usp=sharing,2026-08-29,False,Strawberry Jasmine Matcha - $8.50,Reviewed
SEA010-AI-001,SEA010,Matcha Latte,Matcha Latte,Original,True,True,,6.5,,,,Official Order App,https://order.toasttab.com/online/nanasgreentea,2026-08-29,True,"Matcha with milk, hot/cold. - $6.50+",Reviewed
SEA010-AI-002,SEA010,Matcha Red Bean Latte w/ Mochi,Matcha Latte,Red Bean,True,True,,8.5,,,,Official Order App,https://order.toasttab.com/online/nanasgreentea,2026-08-29,True,"Whipped cream, mochi and red bean paste, hot/cold. - $8.50+",Reviewed
